Item,Region_Number,Region_Name,Average_Annual_Percent_Growth,Year,Spending,Population,State,SpendingAdjusted,perCapSpendAdjusted
Personal Health Care (Millions of Dollars),5,Southeast,7.3,1980,3149,3893888,Alabama,11987.944915048543,0.0030786568373431756
Personal Health Care (Millions of Dollars),8,Far West,8.6,1980,468,401851,Alaska,1781.6316990291264,0.004433562935090684
Personal Health Care (Millions of Dollars),6,Southwest,8.7,1980,2552,2718215,Arizona,9715.222427184466,0.003574118466414344
Personal Health Care (Millions of Dollars),5,Southeast,7.6,1980,1734,2286435,Arkansas,6601.1738592233005,0.002887103223674979
Personal Health Care (Millions of Dollars),8,Far West,7.3,1980,26712,23667902,California,101690.0554368932,0.004296538638570212
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,1980,2776,2889964,Colorado,10567.969223300972,0.003656782307080978
Personal Health Care (Millions of Dollars),1,New England,7.4,1980,3167,3107576,Connecticut,12056.46921116505,0.0038797021251177925
Personal Health Care (Millions of Dollars),2,Mideast,8.7,1980,535,594338,Delaware,2036.6943567961166,0.003426828432299662
Personal Health Care (Millions of Dollars),2,Mideast,6.4,1980,1354,638333,District of Columbia,5154.549830097088,0.008075017005382908
Personal Health Care (Millions of Dollars),5,Southeast,8.6,1980,9824,9746324,Florida,37399.03805825242,0.003837245515155501
Personal Health Care (Millions of Dollars),5,Southeast,8.3,1980,4538,5463105,Georgia,17275.736432038833,0.003162255975683944
Personal Health Care (Millions of Dollars),8,Far West,7.4,1980,922,964691,Hawaii,3509.966723300971,0.0036384362695422376
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,1980,636,943935,Idaho,2421.191796116505,0.0025649984332782503
Personal Health Care (Millions of Dollars),3,Great Lakes,6.6,1980,11798,11426518,Illinois,44913.869199029126,0.003930669798011007
Personal Health Care (Millions of Dollars),3,Great Lakes,7.6,1980,4626,5490224,Indiana,17610.744101941746,0.003207654933922868
Personal Health Care (Millions of Dollars),4,Plains,6.6,1980,2717,2913808,Iowa,10343.361808252426,0.0035497746619723835
Personal Health Care (Millions of Dollars),4,Plains,6.9,1980,2302,2363679,Kansas,8763.49609223301,0.003707566083310386
Personal Health Care (Millions of Dollars),5,Southeast,7.8,1980,2701,3660777,Kentucky,10282.451322815534,0.002808816631773947
Personal Health Care (Millions of Dollars),5,Southeast,7.1,1980,3574,4205900,Louisiana,13605.87968446602,0.003234950827282156
Personal Health Care (Millions of Dollars),1,New England,7.7,1980,984,1124660,Maine,3745.994854368932,0.0033307798395683427
Personal Health Care (Millions of Dollars),2,Mideast,7.6,1980,4112,4216975,Maryland,15653.994757281553,0.00371213838291229
Personal Health Care (Millions of Dollars),1,New England,7.3,1980,6744,5737037,Massachusetts,25673.76961165048,0.004475092214265043
Personal Health Care (Millions of Dollars),3,Great Lakes,6.3,1980,9571,9262078,Michigan,36435.891007281556,0.003933878661708696
Personal Health Care (Millions of Dollars),4,Plains,7.4,1980,4478,4075970,Minnesota,17047.322111650486,0.004182396364951284
Personal Health Care (Millions of Dollars),5,Southeast,7.7,1980,1748,2520638,Mississippi,6654.470533980583,0.0026399945307420515
Personal Health Care (Millions of Dollars),4,Plains,7.1,1980,4815,4916686,Missouri,18330.24921116505,0.003728171620307876
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.9,1980,618,786690,Montana,2352.6675,0.0029905903214735158
Personal Health Care (Millions of Dollars),4,Plains,7.4,1980,1439,1569825,Nebraska,5478.136783980583,0.0034896480715879683
Personal Health Care (Millions of Dollars),8,Far West,9.5,1980,845,800493,Nevada,3216.835012135922,0.004018567323057069
Personal Health Care (Millions of Dollars),1,New England,8.9,1980,682,920610,New Hampshire,2596.3094417475727,0.0028202055612556597
Personal Health Care (Millions of Dollars),2,Mideast,7.5,1980,6425,7364823,New Jersey,24459.366808252427,0.003321107215781347
Personal Health Care (Millions of Dollars),6,Southwest,8.3,1980,940,1302894,New Mexico,3578.491019417476,0.0027465711097122833
Personal Health Care (Millions of Dollars),2,Mideast,7.0,1980,19255,17558072,New York,73301.96231796117,0.004174829805798789
Personal Health Care (Millions of Dollars),5,Southeast,8.7,1980,4221,5881766,North Carolina,16068.94743932039,0.0027319936630121615
Personal Health Care (Millions of Dollars),4,Plains,7.6,1980,647,652717,North Dakota,2463.067754854369,0.00377356152031335
Personal Health Care (Millions of Dollars),3,Great Lakes,7.0,1980,10216,10797630,Ohio,38891.34495145631,0.003601840862435211
Personal Health Care (Millions of Dollars),6,Southwest,7.2,1980,2643,3025290,Oklahoma,10061.650813106795,0.0033258467165484286
Personal Health Care (Millions of Dollars),8,Far West,7.9,1980,2406,2633105,Oregon,9159.414247572815,0.003478560197019418
Personal Health Care (Millions of Dollars),2,Mideast,7.1,1980,11799,11863895,Pennsylvania,44917.67610436893,0.003786081729850857
Personal Health Care (Millions of Dollars),1,New England,7.1,1980,991,947154,Rhode Island,3772.6431917475725,0.003983135996625229
Personal Health Care (Millions of Dollars),5,Southeast,8.5,1980,2112,3121820,South Carolina,8040.184077669903,0.002575479713010328
Personal Health Care (Millions of Dollars),4,Plains,8.0,1980,582,690768,South Dakota,2215.6189077669906,0.0032074718397015938
Personal Health Care (Millions of Dollars),5,Southeast,7.8,1980,4018,4591120,Tennessee,15296.145655339806,0.003331680647715548
Personal Health Care (Millions of Dollars),6,Southwest,8.4,1980,12656,14229191,Texas,48180.193980582524,0.0033860107704354043
Personal Health Care (Millions of Dollars),7,Rocky Mountains,8.7,1980,1104,1461037,Utah,4202.823495145631,0.002876603053273552
Personal Health Care (Millions of Dollars),1,New England,8.2,1980,391,511456,Vermont,1488.4999878640776,0.0029103187524715276
Personal Health Care (Millions of Dollars),5,Southeast,8.1,1980,4315,5346818,Virginia,16426.796541262138,0.003072256534870298
Personal Health Care (Millions of Dollars),8,Far West,8.2,1980,3794,4132156,Washington,14443.398859223302,0.003495366307376416
Personal Health Care (Millions of Dollars),5,Southeast,7.1,1980,1568,1949644,West Virginia,5969.227572815534,0.0030617013017840864
Personal Health Care (Millions of Dollars),3,Great Lakes,7.4,1980,4448,4705767,Wisconsin,16933.11495145631,0.003598375132354898
Personal Health Care (Millions of Dollars),7,Rocky Mountains,7.6,1980,328,469557,Wyoming,1248.6649514563107,0.0026592404148086616
Hospital Care (Millions of Dollars),5,Southeast,6.2,1980,1575,3893888,Alabama,5995.875910194175,0.0015398172495444593
Hospital Care (Millions of Dollars),8,Far West,8.5,1980,205,401851,Alaska,780.4155946601942,0.001942052140370919
Hospital Care (Millions of Dollars),6,Southwest,8.2,1980,1078,2718215,Arizona,4103.8439563106795,0.0015097569383991625
Hospital Care (Millions of Dollars),5,Southeast,7.0,1980,738,2286435,Arkansas,2809.496140776699,0.0012287671159585552
Hospital Care (Millions of Dollars),8,Far West,6.8,1980,11525,23667902,California,43874.58404126213,0.0018537589027224353
Hospital Care (Millions of Dollars),7,Rocky Mountains,7.7,1980,1203,2889964,Colorado,4579.7071237864075,0.0015846934853812737
Hospital Care (Millions of Dollars),1,New England,6.5,1980,1374,3107576,Connecticut,5230.687936893204,0.0016832051531139396
Hospital Care (Millions of Dollars),2,Mideast,8.1,1980,256,594338,Delaware,974.5677669902913,0.0016397534180723615
Hospital Care (Millions of Dollars),2,Mideast,5.8,1980,901,638333,District of Columbia,3430.021711165049,0.005373404964438701
Hospital Care (Millions of Dollars),5,Southeast,7.7,1980,4347,9746324,Florida,16548.617512135923,0.0016979342685648376
Hospital Care (Millions of Dollars),5,Southeast,7.5,1980,2121,5463105,Georgia,8074.446225728156,0.0014779957964798692
Hospital Care (Millions of Dollars),8,Far West,7.3,1980,358,964691,Hawaii,1362.8721116504855,0.001412755080798396
Hospital Care (Millions of Dollars),7,Rocky Mountains,9.1,1980,241,943935,Idaho,917.4641868932038,0.0009719569534906575
Hospital Care (Millions of Dollars),3,Great Lakes,5.7,1980,6168,11426518,Illinois,23480.99213592233,0.0020549560361189934
Hospital Care (Millions of Dollars),3,Great Lakes,7.3,1980,2102,5490224,Indiana,8002.115024271845,0.0014575206811729075
Hospital Care (Millions of Dollars),4,Plains,6.3,1980,1169,2913808,Iowa,4450.27234223301,0.001527304593244651
Hospital Care (Millions of Dollars),4,Plains,6.3,1980,1075,2363679,Kansas,4092.4232402912626,0.0017313786010246157
Hospital Care (Millions of Dollars),5,Southeast,7.4,1980,1217,3660777,Kentucky,4633.003798543689,0.0012655793561158436
Hospital Care (Millions of Dollars),5,Southeast,6.4,1980,1707,4205900,Louisiana,6498.3874150485435,0.0015450646508591607
Hospital Care (Millions of Dollars),1,New England,7.3,1980,456,1124660,Maine,1735.9488349514563,0.0015435321207755734
Hospital Care (Millions of Dollars),2,Mideast,6.7,1980,2012,4216975,Maryland,7659.49354368932,0.0018163478663471612
Hospital Care (Millions of Dollars),1,New England,6.2,1980,3600,5737037,Massachusetts,13704.859223300971,0.0023888392602838316
Hospital Care (Millions of Dollars),3,Great Lakes,5.9,1980,4455,9262078,Michigan,16959.76328883495,0.0018310970053194273
Hospital Care (Millions of Dollars),4,Plains,7.3,1980,1727,4075970,Minnesota,6574.52552184466,0.0016129965436067146
Hospital Care (Millions of Dollars),5,Southeast,7.1,1980,858,2520638,Mississippi,3266.3247815533978,0.0012958325557074827
Hospital Care (Millions of Dollars),4,Plains,6.6,1980,2505,4916686,Missouri,9536.297876213592,0.0019395783819047203
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.1,1980,267,786690,Montana,1016.4437257281553,0.0012920511583065187
Hospital Care (Millions of Dollars),4,Plains,7.0,1980,675,1569825,Nebraska,2569.6611043689322,0.0016369092761097143
Hospital Care (Millions of Dollars),8,Far West,8.7,1980,382,800493,Nevada,1454.2378398058252,0.001816677772080237
Hospital Care (Millions of Dollars),1,New England,8.5,1980,307,920610,New Hampshire,1168.7199393203882,0.0012695060224420637
Hospital Care (Millions of Dollars),2,Mideast,6.5,1980,2731,7364823,New Jersey,10396.658483009709,0.0014116644056496278
Hospital Care (Millions of Dollars),6,Southwest,8.0,1980,445,1302894,New Mexico,1694.0728762135923,0.001300238450874432
Hospital Care (Millions of Dollars),2,Mideast,6.2,1980,9494,17558072,New York,36142.75929611651,0.0020584697053364688
Hospital Care (Millions of Dollars),5,Southeast,8.2,1980,1934,5881766,North Carolina,7362.554927184467,0.0012517592381581428
Hospital Care (Millions of Dollars),4,Plains,7.7,1980,311,652717,North Dakota,1183.9475606796118,0.0018138757848801422
Hospital Care (Millions of Dollars),3,Great Lakes,6.8,1980,4780,10797630,Ohio,18197.007524271845,0.001685277928978104
Hospital Care (Millions of Dollars),6,Southwest,6.9,1980,1175,3025290,Oklahoma,4473.113774271845,0.001478573549733032
Hospital Care (Millions of Dollars),8,Far West,7.8,1980,918,2633105,Oregon,3494.739101941748,0.0013272311973665113
Hospital Care (Millions of Dollars),2,Mideast,6.1,1980,5964,11863895,Pennsylvania,22704.383446601943,0.0019137377266573872
Hospital Care (Millions of Dollars),1,New England,6.3,1980,476,947154,Rhode Island,1812.0869417475728,0.0019131914575112102
Hospital Care (Millions of Dollars),5,Southeast,8.0,1980,962,3121820,South Carolina,3662.242936893204,0.0011731114980662574
Hospital Care (Millions of Dollars),4,Plains,8.3,1980,272,690768,South Dakota,1035.4782524271845,0.0014990246398605385
Hospital Care (Millions of Dollars),5,Southeast,6.8,1980,2004,4591120,Tennessee,7629.038300970874,0.0016616943797964057
Hospital Care (Millions of Dollars),6,Southwest,8.0,1980,5492,14229191,Texas,20907.524126213593,0.0014693403248444408
Hospital Care (Millions of Dollars),7,Rocky Mountains,8.7,1980,449,1461037,Utah,1709.3004975728154,0.0011699227997462181
Hospital Care (Millions of Dollars),1,New England,8.2,1980,172,511456,Vermont,654.787718446602,0.001280242520268805
Hospital Care (Millions of Dollars),5,Southeast,7.4,1980,2055,5346818,Virginia,7823.190473300971,0.0014631488248339425
Hospital Care (Millions of Dollars),8,Far West,8.5,1980,1380,4132156,Washington,5253.529368932039,0.0012713773073746585
Hospital Care (Millions of Dollars),5,Southeast,6.3,1980,819,1949644,West Virginia,3117.855473300971,0.0015991921978068667
